tr_id,half_life,r_squared,Actual_D,D
FBtr0306919,3.95E-10,0.001476032,1756169938,1.76E+09
FBtr0301692,1.05E-09,0.004582647,657637768.4,6.58E+08
FBtr0085927,1.73E-09,0.001187272,401562981.1,4.02E+08
FBtr0332393,3.79E-09,0.002115815,183103065.6,1.83E+08
FBtr0089388,1.47E-08,0.055445074,47212569.64,4.72E+07
FBtr0076138,0.001819806,0.463084276,380.890722,3.81E+02
FBtr0301866,0.010625352,0.729561284,65.23521776,6.49E+01
FBtr0070253,0.027471446,0.335833629,25.23155044,2.49E+01
FBtr0337046,0.05539638,0.702219745,12.51249947,1.22E+01
FBtr0299857,0.076509182,0.493145235,9.059660044,8.72E+00
FBtr0076060,0.079610124,0.485749315,8.706771786,8.36E+00
FBtr0445413,0.143773693,0.468744543,4.821098824,4.48E+00
FBtr0335472,0.153882334,0.751147599,4.504397378,4.17E+00
FBtr0303872,0.204377503,0.578536322,3.391504299,3.06E+00
FBtr0445186,0.260231668,0.790795042,2.663577361,2.33E+00
FBtr0301601,0.278005652,0.484585304,2.493284494,2.16E+00
FBtr0071539,0.296346879,0.547897986,2.338972433,2.01E+00
FBtr0086586,0.341486579,0.621898799,2.029793328,1.70E+00
FBtr0339407,0.345423837,0.643515199,2.00665706,1.68E+00
FBtr0340457,0.400960789,0.517787493,1.728715624,1.41E+00
FBtr0343423,0.418525763,0.645875833,1.65616371,1.33E+00
FBtr0342764,0.464428336,0.211156549,1.492473923,1.17E+00
FBtr0073492,0.493744637,0.311879466,1.40385764,1.09E+00
FBtr0088680,0.495578294,0.726446373,1.398663318,1.08E+00
FBtr0306327,0.506930409,0.869645508,1.367341884,1.05E+00
FBtr0071216,0.526284612,0.654744957,1.317057662,1.00E+00
FBtr0302642,0.526780858,0.746729274,1.315816946,1.00E+00
FBtr0332146,0.539254773,0.491360498,1.285379779,9.70E-01
FBtr0310293,0.584300137,0.353793784,1.186286185,8.73E-01
FBtr0071494,0.592176597,0.625569058,1.170507556,8.58E-01
FBtr0073481,0.62467541,0.82501853,1.10961176,7.99E-01
FBtr0305185,0.64313107,0.645000834,1.077769701,7.68E-01
FBtr0081374,0.6481749,0.649771239,1.069382941,7.60E-01
FBtr0344608,0.648320655,0.61731609,1.069142523,7.60E-01
FBtr0345290,0.652766163,0.76293583,1.061861383,7.53E-01
FBtr0302610,0.714016388,0.663200108,0.970772089,6.65E-01
FBtr0333517,0.717756799,0.685569923,0.965713151,6.60E-01
FBtr0330255,0.727069433,0.782679112,0.953343862,6.48E-01
FBtr0100410,0.728757362,0.804209034,0.95113575,6.46E-01
FBtr0078010,0.74299432,0.620061847,0.93291047,6.29E-01
FBtr0087667,0.750834417,0.575222419,0.923169163,6.20E-01
FBtr0300947,0.757732085,0.656663199,0.914765514,6.12E-01
FBtr0082512,0.761691687,0.623847441,0.910010169,6.07E-01
FBtr0083377,0.761704328,0.715744072,0.909995066,6.07E-01
FBtr0081840,0.774470505,0.80712753,0.894994937,5.93E-01
FBtr0078557,0.775619108,0.45848459,0.893669552,5.91E-01
FBtr0071214,0.803108591,0.884144885,0.863080271,5.62E-01
FBtr0346018,0.816891922,0.767524049,0.848517609,5.49E-01
