,Unnamed: 0,D,S,variance,lengthscale,variance_m,variancve_p,D_95_l,S_95_l,variance_95_l,lengthscale_95_l,variance_m_95_l,variancve_p_95_l,D_95_u,S_95_u,variance_95_u,lengthscale_95_u,variance_m_95_u,variancve_p_95_u,gene_id,tr_id
1,1,0.0099107429960192,0.4149422054492995,0.0057250203351791,15.056715645997429,1.575381257630503,0.0015806188602475,,0.2329932946393348,0.0027999539128369,1.784324605121118,0.6929315588993856,0.0008853740992745,,0.7389784934783318,0.011705856188542,127.05349990341875,3.581632377713409,0.0028218082993589,FBgn0000064,FBtr0310660
2,2,0.0033071061711672,0.5793716455800019,0.0009522695226836,15.40658241956636,0.4920981957930472,0.0011730649419313,,0.328019915580096,0.0004886759659002,2.406586597705302,0.2743571224181442,0.0006603168185053,,1.0233265962173417,0.0018556616390203,98.63047607645548,0.8826475222090217,0.0020839713898297,FBgn0000139,FBtr0084659
3,3,0.0180945834959666,0.3163172182811671,1.652257350247695,16.23963605930377,14.866056739553716,0.1396890984376569,,0.260530673271638,0.557894729408326,1.6763141758614897,0.6553590668049324,0.0760496421434116,,0.384049146016727,4.893314468739974,157.3247921757302,337.21917369827275,0.2565829854337569,FBgn0000163,FBtr0343763
4,4,0.1110425988326846,0.6133495903392558,0.6231687757181898,16.07889975440838,1.676246779096291,0.0225812544747214,0.0819456356369639,,0.2332285939140862,1.494495244879682,0.7300788487150041,0.0129010637061816,0.1504712076448219,,1.665058801379899,172.9888523888395,3.8486298697410057,0.0395248845572167,FBgn0000308,FBtr0079234
5,5,0.084757369775552,0.359894051260591,0.1930149530224137,16.146815000673485,1.0343754444097817,0.0305588010883122,,0.0955597129758111,0.0832654571040656,1.7571651837015372,0.5235537399560389,0.0173559428130111,,1.3554219042657338,0.4474216966548723,148.3751425786608,2.0435964416714354,0.0538052201494329,FBgn0000319,FBtr0074180
6,6,0.0029153854753657,1.1266210556676524,0.0028837743393599,15.043460660415644,1.217872465605417,0.0054344232777153,,0.6194908525829593,0.0013977586781749,2.0336662396074714,0.5865810851323602,0.0032110248339763,,2.048900315124056,0.0059496353485062,111.2796702988754,2.5285734233062342,0.0091973615553768,FBgn0000339,FBtr0337082
7,7,0.0067589519639841,0.4767907159484499,0.01372516146531,15.497027319162036,10.48550618354658,0.0101313901321853,,0.219609446024434,0.0062480204483323,1.9973998252905467,0.8578163077060792,0.005808041135633,,1.0351530452353244,0.0301503586306461,120.23524418598588,128.16944483044875,0.0176729233856148,FBgn0000376,FBtr0070496
8,8,0.0147441610981267,0.047029832358623,45.330795973261615,16.08408829203487,22.14917801306856,2.6797341642786345,,0.0377329638900285,0.0294329885090124,1.2506581544911617,0.4821293219486716,0.8466019732846529,,0.0586173176887566,69815.57659156037,206.84940585641172,1017.5404488400488,8.482114875472483,FBgn0000463,FBtr0083739
9,9,0.0275857952096534,0.7867851081643319,0.1146696680493232,14.104163463225944,2.291265578830609,0.0633579033755723,0.0110811020805421,0.4304507408691427,0.0533138396756555,0.2405867705728179,1.0124404888992156,0.034251610538717,0.0686733225466058,1.4380990614146607,0.2466363865468539,826.8427500139233,5.18538917624873,0.1171981070966222,FBgn0000565,FBtr0075553
10,10,0.0275857952096534,0.7867851081643319,0.1146696680493232,14.104163463225944,2.291265578830609,0.0633579033755723,0.0110811020805421,0.4304507408691427,0.0533138396756555,0.2405867705728179,1.0124404888992156,0.034251610538717,0.0686733225466058,1.4380990614146607,0.2466363865468539,826.8427500139233,5.18538917624873,0.1171981070966222,FBgn0000565,FBtr0330177
