,"RPFs.DC7_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFs.DC8_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFs.DC9_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC7_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC8_184t_bw_star_Aligned.sortedByCoord.out.bam","RPFsRawCounts.DC9_184t_bw_star_Aligned.sortedByCoord.out.bam","mRNA.DC10_184t_star_Aligned.sortedByCoord.out.bam","mRNA.DC11_184t_star_Aligned.sortedByCoord.out.bam","mRNA.DC12_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC10_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC11_184t_star_Aligned.sortedByCoord.out.bam","mRNARawCounts.DC12_184t_star_Aligned.sortedByCoord.out.bam"
"FBgn0000008",56.6367869695725,43.4645370112952,34.8991951522021,21,15,9,149.205137622024,144.562689845083,135.885760515009,557,525,493
"FBgn0000014",21.3277386579908,22.9144425419417,7.66616933658013,8,8,2,8.73812056811627,12.2485573878497,10.0810150857099,33,45,37
"FBgn0000015",1.23836002703137,3.99146812618357,1.78049399781399,1,3,1,0.614987372900913,2.78155217047194,3.79678405364834,5,22,30
"FBgn0000017",339.437391174087,302.276827805864,383.22414434859,298,247,234,331.934807365758,311.321699167169,309.534792066186,2934,2677,2659
"FBgn0000018",105.807993324108,157.402677845587,93.6178583198426,13,18,8,118.02588100621,146.253206876409,113.957630367703,146,176,137
"FBgn0000024",1.72329789669856,0,0,1,0,0,2.56744344879311,0,0,15,0,0
"FBgn0000032",1067.69884172509,1054.12096375378,1296.55414576487,148,136,125,839.776925440821,782.957024467365,848.613813798242,1172,1063,1151
"FBgn0000039",6.11709387462376,0,0,1,0,0,1.21513466508164,0,0,2,0,0
"FBgn0000042",13821.9063730461,14181.1813990749,15530.3397636934,2819,2692,2203,9639.03961329223,9909.86915235543,9923.69723415204,19793,19796,19804
"FBgn0000043",2101.3233212928,2817.24333688858,3214.91843624105,234,292,249,1809.70730566442,1927.20244916574,1749.2328979118,2029,2102,1906
"FBgn0000044",279.495128537116,100.096173131117,267.902380522589,33,11,22,227.129391037838,24.2122939774565,19.0427953805972,270,28,22
"FBgn0000045",27.0565220729962,67.8286606404804,181.540003826526,3,7,14,0,6.44564465984173,2.76515631726791,0,7,3
"FBgn0000046",381.738642581096,670.418813046018,601.632413026047,52,85,57,132.703824306203,167.891381868819,147.800779503667,182,224,197
"FBgn0000047",100.700021232599,39.3424457060234,26.3245200353915,11,4,2,2.72776781713154,1.86932354756538,2.80676368505126,3,2,3
"FBgn0000052",322.721538501407,399.801855087118,189.389307426475,98,113,40,279.324490809606,255.188591937347,280.346148600818,854,759,833
"FBgn0000053",97.7506482257869,121.432763250051,96.6242058621221,32,37,22,164.140670192728,151.885471278727,138.299659581725,541,487,443
"FBgn0000055",90.6925657063784,27.8399294148657,74.5121729484461,14,4,8,0,0,0,0,0,0
"FBgn0000056",55.2041704299695,0,19.8429156221405,8,0,2,0,0,0,0,0,0
"FBgn0000057",305.924115137011,239.665215139541,164.944777436947,48,35,18,301.320512457821,273.299835118737,313.954874644341,476,420,482
"FBgn0000063",122.759017009381,80.6005616431784,147.08410598943,18,11,15,275.692261405604,248.580305426657,256.493540803003,407,357,368
"FBgn0000064",356.508213788817,403.624159117125,391.32584292569,93,98,71,1109.87589771303,1102.53159246774,1098.13923004042,2915,2817,2803
"FBgn0000071",255.113620080532,330.524054078288,571.773715619686,34,41,53,112.53327165417,238.249897007212,220.848743810405,151,311,288
"FBgn0000075",52.5233923695213,0,9.43966039938161,8,0,1,5.21677418264365,2.6812689373802,6.03883283856576,8,4,9
"FBgn0000077",205.365725439197,286.837416214625,428.143696989111,20,26,29,221.31302344737,274.673564448698,243.463392877723,217,262,232
"FBgn0000083",471.925087445588,787.03869919382,526.617388262269,67,104,52,456.836413155828,490.456213653196,474.385486923268,653,682,659
"FBgn0000084",222.476791095278,50.3217328797973,50.5063465795302,19,4,3,296.565454536975,247.468006849208,242.926484834087,255,207,203
"FBgn0000097",251.657735496944,158.201139052113,238.653445755396,94,55,62,594.836602373951,584.396674256343,587.711819509027,2237,2138,2148
"FBgn0000100",8378.27209788397,4819.74585234408,4220.8929687018,762,408,267,11962.4874565336,12723.3156534372,12633.6667562989,10954,11334,11243
"FBgn0000108",4.5751223809265,2.45774717613611,9.86705533208117,2,1,3,8.63387160668142,3.50333431579992,3.74059268068871,38,15,16
"FBgn0000109",743.661273353379,1167.75006574049,699.108090851753,52,76,34,188.917736169507,201.496966726061,226.543307880116,133,138,155
"FBgn0000114",635.336868654656,430.9060772955,212.87518592347,339,214,79,2237.47451389484,1949.06191763086,1880.31611510531,12020,10186,9817
"FBgn0000115",389.147822492143,508.990042071554,754.122765440285,23,28,31,885.618445425713,730.709477224305,795.412327432254,527,423,460
"FBgn0000116",120.845773197226,147.744693902436,107.844887302524,29,33,18,755.345428528611,633.924211895907,596.223678531151,1825,1490,1400
"FBgn0000117",3683.15130970132,3992.37789122505,4217.61060196658,899,907,716,2089.12777377287,2180.54572492509,2260.16667070624,5134,5213,5398
"FBgn0000119",419.332674737676,328.131279612364,338.047652496314,173,126,97,253.266419382342,246.979408719294,274.968723229249,1052,998,1110
"FBgn0000139",300.52310587089,512.397949192486,469.66006103411,46,73,50,223.21724771122,240.126528190614,274.416092455917,344,360,411
"FBgn0000140",304.101989017348,309.399657330325,158.993787780812,132,125,48,729.708017896697,677.18074132518,632.4104752596,3189,2879,2686
"FBgn0000146",242.147646413382,228.943021529745,348.155965642201,50,44,50,372.306379578043,400.015088925163,379.623709846626,774,809,767
"FBgn0000147",287.030181002241,387.967158393022,505.874812728306,31,39,38,614.315683458247,617.300539351145,673.741938552443,668,653,712
"FBgn0000150",12653.2970283328,11954.6648209125,14958.4468352413,630,554,518,13712.6676662378,13525.7515137464,13122.469592141,6874,6596,6393
"FBgn0000152",39.6934064276072,6.09234960204925,16.3058677500774,7,1,2,50.1256026512501,48.0525044358143,42.304922934491,89,83,73
"FBgn0000153",47.8737805859899,7.34791579638258,0,7,1,0,58.41809702981,56.559076282836,48.9266456574509,86,81,70
"FBgn0000157",13.2379900985738,0,0,3,0,0,17.9694143649962,7.20839180022191,7.66650522012338,41,16,17
"FBgn0000158",502.72389839399,330.524054078288,291.280949466633,67,41,27,223.576036399013,157.811828885806,165.636557857804,300,206,216
"FBgn0000163",230.811371155319,259.516959888781,250.822039763736,172,180,130,252.839751273233,268.672954942435,278.813533127353,1897,1961,2033
"FBgn0000166",783.04590643015,692.83660300907,637.43019088064,136,112,77,1387.9293539727,1330.30270210647,1537.57193045703,2427,2263,2613
"FBgn0000173",676.517517161093,749.561883350581,901.760917380308,96,99,89,972.208309089953,1025.99428794185,944.907650882506,1389,1426,1312
"FBgn0000180",151.541851244419,124.50635099426,134.575671334774,34,26,21,205.852380522083,275.312956396811,244.610825976972,465,605,537
"FBgn0000181",2002.27597198584,1816.37531715689,1194.99017857941,212,179,88,4612.51246208561,4487.78515706308,4829.10106781301,4917,4654,5003
"FBgn0000182",154.139465093225,82.8034320225739,23.0853361867437,48,24,5,0,0,0,0,0,0
"FBgn0000183",964.049766747522,910.223403394562,924.063431107744,363,319,242,596.143121766342,588.125466132918,596.850793183412,2260,2169,2199
"FBgn0000212",1348.75417039518,1261.30250158559,1455.35040817423,517,450,388,904.827438615342,931.1749526577,919.299939953575,3492,3496,3448
"FBgn0000216",109.785737434037,117.953385152457,394.620389628284,4,4,10,302.592514526349,369.894153857534,342.21061746499,111,132,122
"FBgn0000221",130.910027602379,64.9150354149385,43.4354580583959,13,6,3,74.013433438169,94.5877715068084,97.7689350292854,74,92,95
"FBgn0000227",2246.38508903491,3225.74590430988,3338.51184657419,208,278,215,511.668311585535,928.432999683741,844.364615238515,477,842,765
"FBgn0000228",1930.94781275311,1903.56711798735,2250.69862925244,655,601,531,899.789800845421,974.593891277171,977.066002815859,3073,3238,3243
"FBgn0000229",28.9425234464359,31.0957388013415,83.2261832635271,4,4,8,71.1477002253312,62.7932457782896,64.3344173696957,99,85,87
"FBgn0000233",4.97665408272901,37.4282895626918,42.9321160086395,1,7,6,27.1862567323181,36.5836939676906,35.6027227261955,55,72,70
"FBgn0000239",2193.03704776772,2572.67840664841,2681.49367196195,468,511,398,1197.0722108399,1219.51614694752,1237.96503859036,2572,2549,2585
"FBgn0000241",10.6658167119992,0,0,2,0,0,6.35615729484996,3.81135818271868,4.90517320415276,12,7,9
"FBgn0000244",15.2927346865594,26.2887310017207,8.79505853716996,5,8,2,18.8345873087654,22.795840726935,23.4435906873521,62,73,75
"FBgn0000246",488.753241128935,566.885135565347,311.433390795269,88,95,39,328.777816954683,386.163919883565,344.542964769576,596,681,607
"FBgn0000247",70.6591381549552,51.354882604806,17.9280996825147,34,23,6,161.82840402157,156.165406985337,141.452740284628,784,736,666
"FBgn0000250",1928.41752453704,1722.63750969496,2564.22524658822,439,365,406,1871.72961062108,1939.72545539055,1935.36235487147,4290,4325,4311
"FBgn0000251",999.947292550949,622.628647073243,555.478101758475,176,102,68,1671.47068710481,1587.07751278045,1632.77925737624,2962,2736,2812
"FBgn0000253",1723.43962697981,1997.41434389278,2185.34959748382,686,740,605,779.029900465131,847.480280182714,845.238951115281,3122,3304,3292
"FBgn0000256",77.2194874355751,42.7391993316836,30.2795260503241,33,17,9,105.748359994006,92.4573717618547,73.6565559785406,455,387,308
"FBgn0000257",177.678196589813,93.0009997754319,150.657569032502,39,19,23,181.452590431435,173.963740378967,165.755231996444,401,374,356
"FBgn0000259",174.040702778866,159.490344095715,143.515930657452,68,58,39,259.801755245571,219.240851706375,215.272952843208,1022,839,823
"FBgn0000261",278.402968886916,409.315409791467,368.681969637664,38,52,35,283.066931088534,255.819694420833,257.57068050074,389,342,344
"FBgn0000273",591.711565810419,597.369510761632,539.054898698521,232,218,147,515.508411938339,539.807581134878,536.693254841063,2035,2073,2059
"FBgn0000274",21.6478918884017,11.629206986862,0,2,1,0,7.52545779052968,3.31531251856945,4.42479671624092,7,3,4
"FBgn0000283",2285.63011155474,3285.1927329429,3388.93703160021,672,899,693,1148.58955449214,1195.96211565516,1149.177838709,3400,3444,3306
"FBgn0000286",10.151682325882,21.8138589459237,0,3,6,0,271.567250058435,216.62167480834,235.511215209289,808,627,681
"FBgn0000289",583.62979703145,520.133365361913,661.252644782911,217,180,171,1088.83273089531,1108.54691127526,1094.25267619276,4076,4037,3981
"FBgn0000299",85.2642515546098,76.3396604636341,44.2691746093952,36,30,13,20.7012430825943,2.41814359964865,0.24205396472867,88,10,1
"FBgn0000307",1436.2134175797,1219.05973094316,1121.90979185298,762,602,414,565.166473416487,598.661905420103,591.742738030272,3019,3111,3072
"FBgn0000308",2047.09522646286,2658.34304729235,2791.72935215754,369,446,350,2180.35394092721,2163.11167779308,2255.97008117987,3957,3819,3979
"FBgn0000316",1231.78556777886,1360.60068304533,1681.49431235544,178,183,169,694.20182701549,716.424894119413,784.321955469406,1010,1014,1109
"FBgn0000317",370.75669621835,387.745467480505,334.585218521139,188,183,118,352.772023800332,360.414113619432,344.848928546313,1801,1790,1711
"FBgn0000318",2875.43566215153,3921.9500563192,3753.08240951503,141,179,128,879.070165760225,991.080882529742,917.032939557249,434,476,440
"FBgn0000319",1115.52761536878,1167.1848702894,1352.29734184803,459,447,387,914.380340857432,1017.34698229892,947.815318704958,3788,4100,3816
"FBgn0000320",15.8281876192162,17.0057455016551,17.0681339253859,4,4,3,6.68142948161894,5.2520899402125,12.5366242463739,17,13,31
"FBgn0000326",403.837666494074,408.359224952976,466.781992330376,51,48,41,110.893229073354,123.69315941706,140.000784062657,141,153,173
"FBgn0000330",156.385884157729,132.647690743603,130.1757903103,19,15,11,366.24460191836,270.593540246366,344.04478086464,448,322,409
"FBgn0000339",382.949742335478,477.801022089649,639.405220148976,31,36,36,476.059332010723,489.361070493364,472.171105765264,388,388,374
"FBgn0000346",146.6299304958,233.767026356571,312.832853093079,31,46,46,178.99264265541,169.506226350298,191.427284175799,381,351,396
"FBgn0000351",44.1133023526493,9.47903336874732,0,5,1,0,96.3921175258264,75.6652474026617,52.2968194368765,110,84,58
"FBgn0000352",904.355114050901,668.617141660969,793.383340558565,295,203,180,493.875067676032,550.867632030815,552.979981598724,1622,1760,1765
"FBgn0000355",113.409732650306,0,122.294008125581,4,0,3,0,14.4736459144019,243.398186746387,0,5,84
"FBgn0000357",22.4984639117518,0,0,1,0,0,11.1730602679117,13.7823007320499,3481.17984056103,5,6,1514
"FBgn0000370",332.724872959597,279.566407753983,122.663188596113,78,61,20,146.170263469866,142.850614540506,151.711193984278,345,328,348
"FBgn0000376",770.280013159809,690.327801987219,729.326721129783,205,171,135,901.656187911539,921.478857719638,928.152065851464,2416,2402,2417
"FBgn0000377",801.454714441272,1116.71305205658,873.241448815521,128,166,97,171.643503210069,249.955892757593,250.203564660347,276,391,391
"FBgn0000382",232.433454872085,269.488093654549,295.721253043019,139,150,123,430.162820314599,424.768025264348,477.141254879281,2590,2488,2792
"FBgn0000384",866.369936653841,947.851894942557,1070.95747709106,164,167,141,1018.96207620439,987.564509383066,1024.71584314912,1942,1831,1898
"FBgn0000392",762.967531981783,721.361923967675,380.287219879593,225,198,78,0,0,0,0,0,0
"FBgn0000394",120.908695732274,68.7726264137805,40.9036624027758,17,9,4,81.237345649838,60.2704329869565,47.9733744317821,115,83,66
"FBgn0000395",6.74590116827301,7.24777095184884,33.9470161925555,2,2,7,23.7857909025226,40.2915007887404,37.9184329361856,71,117,110
"FBgn0000404",10794.8076888978,12162.2103151084,12528.6768881697,2158,2263,1742,5745.4072998182,5819.63038884713,6113.21592241858,11564,11395,11958
"FBgn0000405",4629.16047720716,5014.74152261884,5270.84365510072,966,974,765,16656.8466505519,16661.3752578967,16687.679352158,34996,34054,34074
"FBgn0000411",154.223712245497,80.1761510661507,178.822868213158,31,15,25,238.169292462527,240.760593128766,262.861946183821,482,474,517
"FBgn0000412",5709.91116664122,6978.85625365271,8254.35689367599,734,835,738,2844.12302772218,2850.52171776196,3101.39412021648,3681,3589,3901
"FBgn0000414",324.477846193932,272.463412758314,210.6174584385,206,161,93,385.015942961069,386.44634591453,403.892890573204,2461,2403,2509
"FBgn0000416",4239.27960096863,4141.00992620718,4505.90024929575,1024,931,757,2016.05913843649,2079.15339326712,1983.05507229725,4903,4919,4687
"FBgn0000422",5.22041583079261,5.60879521818978,0,1,1,0,0.518506693877345,0,0,1,0,0
"FBgn0000426",3564.39261450722,2956.15935722561,3101.86836455568,114,88,69,599.359319048313,651.221087694673,760.510751236479,193,204,238
"FBgn0000439",21.3238453139495,34.3653893215264,0,4,6,0,7.41280946288758,13.0627428625051,16.3446078045153,14,24,30
"FBgn0000447",1170.50092614795,1555.99105495273,1625.87889878914,118,146,114,436.458293267185,473.972573137112,460.249498925762,443,468,454
"FBgn0000449",96.1111595055443,142.977419774675,85.0381963674925,13,18,8,27.169488224138,23.399671597309,21.9117053589951,37,31,29
"FBgn0000451",11.7093047944883,12.5804332199493,28.0590814330723,3,3,5,64.7404325590521,5.18048967639244,0,167,13,0
"FBgn0000454",326.484607374008,246.288014954393,49.9376896484888,47,33,5,721.68188916393,645.392403214504,627.573844060985,1046,910,884
"FBgn0000455",261.943930166808,458.331426366365,376.618741920997,35,57,35,254.966830041928,220.064701386375,266.939866581617,343,288,349
"FBgn0000459",40.4722906401424,9.66295055452837,25.8624018826298,9,2,4,14.2927080778558,13.7738114799821,21.1407711294745,32,30,46
"FBgn0000463",475.835265165031,457.734224079695,612.551331592763,172,154,154,569.059328224117,655.290342498195,592.324808809581,2071,2320,2095
"FBgn0000464",138.429650935014,98.6463204646409,123.887209869566,98,65,61,5.75222909294498,8.79732197738096,8.95040020685301,41,61,62
"FBgn0000477",118.904748198102,153.300979400099,51.2877965673242,10,12,3,4.7239844390063,21.8519051508967,9.72158105897232,4,18,8
"FBgn0000479",63.8919693548562,54.5400954903827,15.1007406784569,73,58,12,132.395305897394,112.95048305987,126.390168709245,1523,1264,1413
"FBgn0000482",161.674346015641,79.4067711497719,239.094264541629,35,16,36,164.249994860306,189.11894881447,170.422914271231,358,401,361
"FBgn0000489",14.1716302931675,30.4518930286835,33.9595676613146,3,6,5,38.0043096230248,44.3714877660538,42.4843471189253,81,92,88
"FBgn0000490",58.8092759212247,45.131761292511,24.1585785134922,21,15,6,24.1988685042998,32.3089307245346,31.1961322378587,87,113,109
"FBgn0000499",539.085029277893,501.965478375594,752.942363670506,105,91,102,593.567648139952,608.055982367348,640.665523068319,1164,1160,1221
"FBgn0000520",1057.55142178592,689.573636275904,765.508364215986,145,88,73,373.069710154391,338.814892996226,371.947594197589,515,455,499
"FBgn0000524",385.253869109566,254.086628518067,164.528250221197,101,62,30,770.973264980927,676.461458775223,649.064102168103,2035,1737,1665
"FBgn0000533",334.677542734409,297.93464736937,343.709966080955,35,29,25,419.788044837276,432.49377172773,451.490087727007,442,443,462
"FBgn0000536",164.09728984089,254.286798551061,240.473665570761,52,75,53,167.374229730239,178.172551899377,194.152180876692,534,553,602
"FBgn0000541",730.655038887844,811.491651843648,915.039741430763,504,521,439,917.069744425492,976.588852417795,912.21816898771,6369,6598,6157
"FBgn0000542",100.819902210257,106.452930100093,94.9719737705403,58,57,38,59.5643823639705,79.6860360242076,68.7506740497287,345,449,387
"FBgn0000543",251.750053081499,327.422327750786,476.265987482412,38,46,50,306.634601548602,355.786383099122,337.858023404525,466,526,499
"FBgn0000546",216.068145014381,159.499478835611,194.426216528757,147,101,92,255.920216380558,245.963104724339,246.807691147911,1753,1639,1643
"FBgn0000547",556.788833352233,578.678389632779,944.312772989407,245,237,289,711.926880098388,735.067479603578,719.30545662791,3154,3168,3097
"FBgn0000557",10.9951077400052,17.7196538689121,0,2,3,0,3.27619703940121,6.73547678847919,6.74215071936258,6,12,12
"FBgn0000559",13989.9217979425,11339.7744429439,8511.5589195911,2928,2209,1239,16679.9253122033,18588.4759782504,17809.0028337936,35148,38105,36471
"FBgn0000562",181.103914154753,100.763279409308,65.0970689247278,56,29,14,429.779001566525,368.156337771757,408.18259696612,1338,1115,1235
"FBgn0000565",75.4878298013947,34.7587892731392,46.515076945845,7,3,3,28.919576820475,57.2532108696724,66.1268549136891,27,52,60
"FBgn0000566",859.493077029257,1125.1061054664,1207.35683484378,87,106,85,907.641056202174,874.500036401896,945.032395283428,925,867,936
"FBgn0000567",1.56467028276114,0,0,1,0,0,0.466222639126104,0.479249527169972,0.639632530026683,3,3,4
"FBgn0000568",5.42766451517617,3.49887745712813,0,5,3,0,12.3990982543393,7.75815828137964,5.99079513774601,115,70,54
"FBgn0000575",213.784818136558,214.376967451318,235.655201927364,30,28,23,538.628751845644,540.582551577971,548.401077350827,761,743,753
"FBgn0000576",11.7849096680605,44.3158198454147,50.8324569690671,2,7,6,46.2351874895963,21.6579011503641,19.8727477216401,79,36,33
"FBgn0000577",41.8381177040886,16.8565188667014,37.5963551723222,8,3,5,9.34983453078395,11.7468773789522,20.844643628058,18,22,39
"FBgn0000578",343.706163005424,371.858968302858,286.828937027597,143,144,83,385.54322712453,402.450743680785,383.443960999846,1615,1640,1561
"FBgn0000579",1268.50067090608,1485.23552428656,717.109521378305,323,352,127,2911.05821182607,2751.01654538119,2620.49034956257,7463,6861,6529
"FBgn0000581",1012.47403953533,659.271706890858,433.455131425067,759,460,226,752.955042484008,778.351845357491,741.359813822323,5683,5715,5438
"FBgn0000588",334.189331027201,184.129110625315,234.085850842881,39,20,19,560.870577352513,503.927502822556,545.586653438998,659,576,623
"FBgn0000591",56.9629508923027,20.4002603709711,27.3001361875484,3,1,1,18.8590796199601,13.5702193813833,9.70261828707576,10,7,5
"FBgn0000606",20.7702746496827,44.6310105982271,104.521076171816,2,4,7,117.588909954724,178.130845592326,176.184642221674,114,168,166
"FBgn0000611",689.834791120957,631.882928516601,591.285233108691,156,133,93,1096.70117118989,1019.89234113425,1110.83637137899,2497,2259,2458
"FBgn0000615",62.1340556541571,57.2199400314048,44.6676696345206,14,12,7,500.318771382842,439.079385343072,356.056599894686,1135,969,785
"FBgn0000617",1688.78594326913,2093.56764572199,1811.74293473114,130,150,97,394.822549972535,452.275681006706,395.635482544992,306,341,298
"FBgn0000618",348.345997902034,405.450105225842,208.685931692094,12,13,5,314.27175205262,213.392759644541,255.138353000981,109,72,86
"FBgn0000629",71.2268442864728,58.8660421211137,70.8984024592954,13,10,9,136.0472066393,111.319444768291,105.270313771041,250,199,188
"FBgn0000633",7.32761947744744,7.87276692469562,0,3,3,0,10.6744031117593,5.73570879411476,9.2361524965596,44,23,37
