,RPFs.DC1_t_bw_star_s.bam,RPFs.DC2_t_bw_star_s.bam,RPFs.DC3_t_bw_star_s.bam,RPFsRawCounts.DC1_t_bw_star_s.bam,RPFsRawCounts.DC2_t_bw_star_s.bam,RPFsRawCounts.DC3_t_bw_star_s.bam,mRNA.DC4_t_star_s.bam,mRNA.DC5_t_star_s.bam,mRNA.DC6_t_star_s.bam,mRNARawCounts.DC4_t_star_s.bam,mRNARawCounts.DC5_t_star_s.bam,mRNARawCounts.DC6_t_star_s.bam,TE.DC1_t_bw_star_s.bam,TE.DC2_t_bw_star_s.bam,TE.DC3_t_bw_star_s.bam
FBgn0000008,18.37520314,8.195410459,6.004390726,6,4,4,60.4971935,74.90913043,52.8158897,215,245,172,0.315058331,0.121137081,0.130154695
FBgn0000014,63.5734388,40.50570771,25.22512843,21,20,17,45.89403291,106.688814,125.0572515,165,353,412,1.37700758,0.385422647,0.208041411
FBgn0000017,259.9806708,186.0429778,93.82849999,201,215,148,284.6206392,270.659985,231.4933275,2395,2096,1785,0.913731835,0.688518693,0.407876222
FBgn0000018,92.42228707,30.91551855,49.83075324,10,5,11,98.50325232,122.7202199,89.88841035,116,133,97,0.938886769,0.257965259,0.559265511
FBgn0000022,54.24392029,24.19299467,17.72506619,3,2,2,66.45163564,117.3359094,145.0357469,40,65,80,0.819015281,0.212893912,0.128222484
FBgn0000032,303.1030915,443.9187414,345.3147652,37,81,86,547.9436403,471.08459,402.4759892,728,576,490,0.553978713,0.942455549,0.858328065
FBgn0000042,17360.03384,17230.97708,20587.52748,3118,4626,7544,12368.83116,13565.10768,12176.01821,24179,24404,21811,1.403498044,1.270222638,1.690769212
FBgn0000043,5027.192646,4611.637101,6307.627228,493,676,1262,2911.893509,3078.563871,2723.755272,3108,3024,2664,1.72618485,1.497821541,2.315300495
FBgn0000044,528.9621268,733.4939898,1282.20908,55,114,272,36.22943946,331.259816,85.8236834,41,345,89,14.23502837,2.210601326,14.77948217
FBgn0000045,81.92987425,109.6231062,301.1837992,8,16,60,0,1.022445279,0,0,1,0,82.92987425,54.69770051,302.1837992
FBgn0000046,1183.730155,1093.075746,1389.221,142,196,340,192.2445151,335.3954647,279.1682912,251,403,334,6.130731082,3.25234987,4.962092582
FBgn0000047,93.55800922,111.2726075,214.0010029,9,16,42,2.865336201,0,0,3,0,0,24.46307495,112.2726075,215.0010029
FBgn0000052,67.3094383,77.55235222,53.15321213,18,31,29,125.0606594,111.2519157,113.2310824,364,298,302,0.541877526,0.699786295,0.474067224
FBgn0000053,79.78092906,64.97691748,59.50690369,23,28,35,83.18166904,95.23393291,81.03682721,261,275,233,0.959602369,0.685588913,0.737557823
FBgn0000055,22.06817875,19.68498324,10.81669412,3,4,3,2.703467164,0.73440058,0,4,1,0,6.228806069,11.92630093,11.81669412
FBgn0000057,101.3216134,82.31003795,63.85201713,14,17,18,155.5986368,147.3981392,123.361101,234,204,170,0.653400409,0.561395435,0.521481529
FBgn0000063,61.95444484,41.4478769,64.5296723,8,8,17,69.7307647,83.50144882,79.97881442,98,108,103,0.890057461,0.502333126,0.809219952
FBgn0000064,400.4755483,465.9485663,450.1929485,92,160,211,964.2757769,964.3468191,919.1826088,2411,2219,2106,0.415917977,0.48371068,0.490329793
FBgn0000071,2683.903322,2593.567351,4084.352572,315,455,978,1069.357409,1740.402571,1753.028292,1366,2046,2052,2.508417561,1.489929666,2.329125814
FBgn0000075,126.7398791,129.6783676,197.3268497,17,26,54,20.54951098,42.42550255,31.39560902,30,57,42,5.927739114,3.009254007,6.122028747
