target_id,95_r1,105_r1,115_r1,125_r1,145_r1,160_r1,175_r1,190_r1,205_r1,220_r1,95_r2,105_r2,115_r2,125_r2,145_r2,160_r2,175_r2,190_r2,205_r2,220_r2,95_r3,105_r3,115_r3,125_r3,145_r3,160_r3,175_r3,190_r3,205_r3,220_r3
FBtr0091886,302.978,245.318,274.208,393.097,471.291,479.763,186.071,134.69,75.8951,220.101,327.352,572.236,369.662,308.058,557.041,637.683,186.782,129.06,167.49,442.293,349.146,339.111,389.977,383.645,527.974,489.566,118.52,102.141,103.656,136.18
FBtr0113148,0,0,0,0,0,0,0,0,0,0.0213418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160296
FBtr0331563,0,0,0,0,0,0,0,0.0463847,0.0463784,0.0892232,0,0,0.0619183,0,0,0,0.0624251,0.0726115,0.0781514,0.164628,0,0,0,0,0,0,0,0.0471888,0.235809,0.216229
FBtr0342927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0342926,0.0955436,0.0656695,0,0,0,0,0,0,0,0.110393,0,0,0,0,0,0,0.14216,0,0,0.35139,0,0,0.286998,0.129279,0,0,0,0,0,0.524471
FBtr0081191,2.97E-07,0.171805,0,0.276796,0.113834,0.156575,0.0421367,0.350245,0.100047,0.869682,0.159209,0.361946,0.155854,0.175373,0.421127,0.397429,0.140627,0.287231,0.526948,0.136918,0.198466,0.0550402,0,0,0.271973,0.0986587,0.125414,0.317958,0.508832,0.00183203
FBtr0072204,69.9926,84.8972,75.6353,91.4085,110.065,87.827,126.315,103.475,49.3826,85.482,96.4971,84.6951,101.499,89.6629,96.9398,83.5983,113.367,105.525,87.2684,65.2667,82.9554,83.8315,79.3776,85.9727,104.673,68.8688,102.33,105.439,92.9278,62.5426
FBtr0075037,51.0943,62.0801,55.3035,75.4154,83.7056,59.8301,53.1094,53.4011,15.11,35.316,75.4529,70.2599,83.7617,78.2869,71.3741,78.6579,53.6051,31.3976,32.1705,39.9725,85.1496,84.6644,77.1848,76.8936,81.8316,49.8099,46.3478,32.3296,30.6189,27.8329
FBtr0332648,2.38228,1.37906,0.229995,0.487862,0.466862,0.964153,1.55855,0.153823,0.153989,0.51517,0.541682,0.225004,0.410388,0.362138,0.907321,0.230605,0.497559,0.480817,0.452856,0.683258,0.0642325,0,0.24735,0.235751,0.46781,0.303159,0.342296,0.118227,0.638252,2.30734
FBtr0070536,0,0.0095183,0,0,0.130146,0.310358,1.1889,0.819833,0.629224,1.33634,0.0121508,0.0553116,0.0169651,0.022315,0.032103,0.0947985,0.564645,0.855342,2.19984,1.57363,0,0,0.0765463,0,0.092275,0.421004,0.711317,0.873969,1.12738,1.31627
FBtr0085269,35.003,42.7097,35.6637,52.189,68.252,52.5548,86.2339,103.131,35.1057,83.9204,65.9005,57.1925,58.5839,40.0728,57.4664,65.6597,90.6133,92.0217,79.295,90.6204,66.7911,61.4166,68.0434,60.214,64.5115,46.3556,67.5766,71.3112,86.9469,67.8314
FBtr0077243,237.715,224.301,233.892,254.494,284.041,156.953,190.132,230.873,43.7653,108.251,319.19,297.189,299.906,215.241,208.871,263.137,216.766,122.244,84.947,76.7958,315.5,310.608,371.586,296.274,341.971,132.576,152.642,152.613,77.9284,119.584
FBtr0077242,0,0,0.164931,0.119149,0.127671,0,0,0.317033,0,0.585135,0,0,0.148453,0,0,0,0.0320304,0.1733,0,0.274462,0.154284,0,0,0,0,0.00253931,0,0.223751,0.733349,0
FBtr0345919,0,0,0,0,0,0.270474,0.182454,0.715484,0,0.266323,0,0,0,0,0.378636,0.0544771,0.685645,0.331331,0.757996,0.211923,0,0,0,0,0.0653219,0.250676,0.389829,0.529394,0.732996,0.69287
FBtr0072826,2.43786,0.98596,1.746,4.7386,6.15488,12.4465,26.8052,31.7673,16.6335,36.3117,0.414388,0.674772,0.97478,4.14523,6.04456,13.8698,29.6571,27.733,37.0491,28.4533,1.87549,1.0633,1.37948,4.48788,6.28224,7.85973,20.6957,22.2844,32.7868,38.2532
FBtr0072827,5.61098,7.27628,4.12279,3.41082,3.07965,11.0541,33.7631,42.5135,18.6154,24.98,14.0634,7.57879,9.42946,3.23574,3.17656,5.25055,48.0781,56.4972,42.8496,18.3912,12.1397,8.2837,7.51206,4.3527,2.90477,15.4842,32.5419,38.3906,42.2134,56.0249
FBtr0073811,0,0,0,0,0,0,0.0632707,0.188072,0.187904,0.281537,0,0,0.0167442,0,0,0.260564,0.121383,0.13753,0.253739,0.466853,0.0314087,0.0827569,0,0,0,0,0,0.228565,0.243747,0.338899
FBtr0078276,13.7704,10.902,3.3988,1.91345,1.03788,0.918798,4.11085,6.12822,5.23596,16.7447,18.9681,8.05225,6.63549,3.36499,0.734635,0.907028,4.11123,6.64229,12.7282,22.2116,23.178,12.6751,3.64658,2.19439,0.647757,1.26689,3.34631,7.11962,11.4165,17.3435
FBtr0084336,177.112,187.939,169.999,224.17,227.227,127.016,78.64,74.746,20.6212,44.5209,296.411,293.229,264.537,181.82,200.707,238.305,79.6505,64.1437,39.8256,37.3492,276.388,253.929,298.641,241.863,253.178,91.8718,61.3741,54.2894,41.3502,34.5077
FBtr0334605,0.955756,0.630114,1.45507,2.46918,2.87977,1.70793,3.28673,6.03363,2.33812,3.8296,1.62002,0.711748,1.38471,1.26009,1.64006,1.84798,5.45622,4.56285,4.58402,3.54457,1.21911,0.9634,1.72135,0.894892,1.539,2.07138,3.24832,3.54037,3.58926,4.28191
FBtr0078281,0,0,0,0,0.017532,0.0289399,0.0389441,0.0231174,0.0462286,0.0771018,0,0,0,0,0,0.0459284,0,0.0965019,0.233695,0.451265,0,0,0,0,0,0,0.0772518,0.0823155,0.0213678,0.0693987
FBtr0086929,0,0,0,0,0,0,0,0,0,0.0128186,0,0,0,0,0,0,0.00826853,0,0,0.0136275,0,0,0,0,0,0,0,0.00782843,0,0
FBtr0346650,0,0,0,0,0.0252064,0.108648,0,0,0,0.0692488,0,0,0,0,0,0.164645,0.178348,0.162733,0.13911,0,0.0277597,0,0,0,0,0.166224,0.268616,0.0948508,0.228738,0.413618
FBtr0346726,0,0.0459578,0,0,0,0.423723,0,0.183509,0,0,0,0,0,0,0,0,0,0.134868,0,0.233185,0,0,0,0,0,0.132511,0.0894971,0.19402,0.242028,0
FBtr0333746,0,0,0,0,0,0,0.466701,0,0.110984,0.0229122,0,0,0,0,0,5.81E-05,0.418928,0,0.471029,0.505291,0,0,0,0,0,0,0,0,0.0448722,0.254411
FBtr0085114,0.0167119,0.0550993,0.0219844,0,0.150612,0.331498,1.15246,1.25773,0.728105,1.56416,0.112419,0.0319649,0.0687259,0.0258026,0.148594,0.175403,1.21168,2.2105,2.23046,1.91882,0.0184263,0.145636,0.0531428,0,0.106702,0.522073,1.04455,1.36981,1.815,2.62748
FBtr0089243,120.868,141.502,112.468,116.592,140.344,107.433,121.509,117.64,72.5237,119.367,128.312,107.509,149.867,115.26,123.647,102.459,126.54,122.3,135.855,147.378,149.293,146.182,108.696,129.905,114.34,99.5942,116.807,103.052,132.383,134.702
FBtr0289951,0.684841,0.827344,0.318154,0.704557,0.924188,1.69341,5.86688,3.84352,3.18344,5.02746,0.150681,0,0.573691,0.255955,0.200893,1.88051,4.61801,3.5242,7.32141,7.03433,0.540244,0,0.0960157,0.515299,0.952611,2.23113,4.80509,4.63859,5.43491,8.8831
FBtr0112904,2.31928,1.75504,1.19428,1.1207,2.02392,2.7657,6.8043,5.39932,4.48047,8.46881,1.46441,1.2261,3.01811,2.6166,1.50875,2.98248,5.18242,7.23728,7.91551,10.1146,2.22437,1.84752,1.96871,1.99225,2.16001,3.6763,4.74284,6.23037,9.53304,8.36754
FBtr0339537,0.156067,0.527862,0.150957,0.374952,0.562595,1.51991,4.41922,3.39187,1.24541,2.66103,0.0261945,0.429791,0.204099,0.318702,0.385205,0.971782,2.3016,3.0925,3.34234,3.83985,0.0473984,0.041655,0.244731,0.226509,0.60776,1.77656,3.58878,3.2153,3.53026,4.76629
FBtr0071843,12.8475,14.9106,14.885,22.2304,20.0646,19.9011,41.0463,53.7054,27.6658,58.6175,19.9545,15.3246,19.0677,23.015,20.9074,19.0052,42.1532,61.0232,54.2681,60.255,18.9429,20.3215,18.2422,20.6779,19.7231,20.7863,36.7184,40.9567,49.1439,47.3672
FBtr0346637,0.653937,0.949768,0.294804,0.531123,0.553696,1.28007,5.13473,2.75901,2.64762,2.76233,0.229548,0.312596,0.212071,0.879334,0.0855252,0.965725,2.92367,2.59101,4.51771,6.524,0.218695,0.121299,0.298389,0.268695,0.527823,1.78141,3.77836,4.46551,6.10197,14.084
FBtr0332881,0.346993,0.148084,0,0,0,3.99E-09,0,0,0,0,0.278463,0,0.115976,0,0,0,0,0,0,0,0.498307,1.42424,0,0,1.06E-07,0,0,0,0,0
FBtr0072792,11.8592,13.499,9.73009,8.07828,3.80436,1.41876,3.98126,6.20441,3.64673,8.06522,18.3772,15.0117,13.8853,10.6222,2.50068,2.10606,3.99909,4.70775,9.52306,12.0659,23.1403,18.0257,10.9337,10.1346,2.53988,1.65819,3.19901,4.57449,7.21092,10.3181
FBtr0309500,0,0.0533564,0,0.0699068,0,0,0,0.0363211,0,0,0.0353736,0.126132,0,0.0289903,0,0,0,0,0,0,0.0514066,0,0,0,0,0,0,0,0,0.0153726
FBtr0309501,0.0271463,0.0670339,0,0.0702195,0.01702,0.0417307,0.029645,0.0448193,0.108753,0.118578,0.011371,0.0519563,0.0239139,0.0371001,0,0,0.0386847,0.00820254,0.0908064,0.21525,0.00503178,0,0,0,0.0272874,0.0100591,0.0781079,0.109679,0.130096,0.375535
FBtr0070559,0,0.022443,0,0,0,0,0.202368,0.0525683,0.0690622,0.223845,0,0,0.0963808,0.0315641,0,0,0.0979802,0.338954,0.410124,0.302951,0.011197,0,0,0,0,0.0482638,0.0913208,0.184723,0.384242,0.204456
FBtr0309499,0.051344,0,0,0,0,0,4.89E-05,0.00011463,1.39E-05,0,0,0,0,0,0,0,0,2.28E-05,0,0,0,0.0890486,0,0,0,5.86E-05,0.000134786,5.78E-05,0,0.00014265
FBtr0070560,0.102288,0.0663014,0.068585,0,0.0945312,0.0342195,0.0189724,0,0,0,0.134626,0.179145,0.0861061,0,0.233925,0.15879,0.0212897,0,0,0.0429394,0.166355,0.0976926,0.0472626,0.32307,0.0774201,0,0.0202154,0.00920534,0,0.0152592
FBtr0309498,0,0,0,0,0.107648,0,0.0826172,0.366014,0.0296534,0,0,0,0,0,0,0,0.236122,0.0619178,0,0.0382923,0,0,0,0,0,0.0938385,0.180576,0.0886016,0,0.322802
FBtr0332492,0,0.0309789,0.0186767,0,0,0.133964,0,0,0.112442,0.142711,0.0312073,0,0,0,0.0315767,0.106067,0,0,0.129799,0.404771,0,0.0251484,0.030129,0.0453418,0.0227931,0,0.0813168,0.0168668,0.02604,0.0737046
FBtr0076382,0.00385953,0.0279909,0,0,0.0271157,0.284251,3.93974,9.23665,8.6636,26.9699,0,0.0149034,0.00454132,0.00600095,0,0.188713,3.9348,13.8804,23.4147,33.0903,0.002132,0,0,0,0,0.351101,3.91434,8.4971,15.9066,19.9631
FBtr0345031,0,0,0.00500405,0,0,0.897088,6.15052,7.87721,4.46484,9.08605,0,0,0,0,0.11843,0.541056,5.96102,8.90276,11.7858,6.66965,0,0,0,0,0.0243957,1.07976,4.99882,7.15545,9.25477,8.53978
FBtr0079978,0.143458,0.128372,0.337387,0.407318,0.698552,0.64461,1.14186,1.47616,0.785772,1.44787,0.086425,0.354455,0.16868,0.317538,0.7527,1.17336,1.63404,1.40533,2.02948,2.04383,0.203573,0.178765,0.14142,0.228736,0.689289,0.800928,1.0027,1.26447,1.50062,1.89673
FBtr0082663,0,0,0,0.0987442,0.0951625,0.392022,0.210653,0.188335,0.062654,1.29923,0,0,0,0,0.105517,0.12345,0.134861,0.427072,0.954653,0.611356,0,0,0,0,0.150068,0.198188,0.315273,0.536333,0.641068,1.25777
FBtr0300278,28.8805,24.5751,15.0027,8.34894,4.94118,1.58172,1.96103,3.0578,0.897584,1.80346,51.0899,28.3546,20.8487,9.7713,3.33025,2.33166,2.84604,1.63819,2.12706,3.82039,56.7469,42.0451,16.496,11.4108,3.92367,1.46777,1.53595,1.33838,1.42756,2.56048
