step	pearson
0	-0.036863867
1	0.06100531
2	0.15214917
3	0.1882065
4	0.24310598
5	0.27047157
6	0.3031379
7	0.31989887
8	0.30440086
9	0.36275062
10	0.36688042
11	0.37985486
12	0.39112306
13	0.39575872
14	0.39761996
15	0.41720796
16	0.39513853
17	0.42808056
18	0.422912
19	0.4331942
20	0.43519402
21	0.44982916
22	0.4548617
23	0.46749103
24	0.46055913
25	0.4758352
26	0.48867863
27	0.49775353
28	0.4918395
29	0.49527413
30	0.5127606
31	0.5085092
32	0.52187
33	0.51741254
34	0.5233241
35	0.5268072
36	0.5390435
37	0.53855175
38	0.5324589
39	0.5477823
40	0.5388055
41	0.5545546
42	0.5448213
43	0.5752303
44	0.5619849
45	0.5725512
46	0.5788118
47	0.58251196
48	0.5731149
49	0.58547735
50	0.58926725
51	0.59159404
52	0.58493054
53	0.5957478
54	0.604674
55	0.60213226
56	0.5993541
57	0.6053792
58	0.6019571
59	0.6154982
60	0.61370325
61	0.61102754
62	0.6181501
63	0.61413044
64	0.6171162
65	0.638077
66	0.6283374
67	0.63808745
68	0.62703943
69	0.6389775
70	0.6274237
71	0.6267183
72	0.6313292
73	0.6280326
74	0.6370245
75	0.63724107
