step	pearson
0	0.0020591747
1	0.025585433
2	0.04915245
3	0.05881243
4	0.07006072
5	0.09302749
6	0.10376889
7	0.11758912
8	0.11793825
9	0.13894014
10	0.15724716
11	0.16266905
12	0.17994043
13	0.19322729
14	0.1901616
15	0.2048153
16	0.20965964
17	0.22154152
18	0.23657908
19	0.22522485
20	0.2225495
21	0.25151882
22	0.26047403
23	0.27150112
24	0.27601936
25	0.26720142
26	0.28657427
27	0.28893238
28	0.2927376
29	0.29218632
30	0.3134479
31	0.3049106
32	0.308272
33	0.30691585
34	0.32097924
35	0.33444348
36	0.3232922
37	0.3309803
38	0.3408503
39	0.32429343
40	0.33890277
41	0.34514657
42	0.35411865
43	0.35106844
44	0.34929252
45	0.3583976
46	0.35290456
47	0.36869794
48	0.36422464
49	0.35960388
50	0.36100227
51	0.38070643
52	0.37392282
53	0.3859917
54	0.38103324
55	0.381939
56	0.39076805
57	0.37520415
58	0.3822294
59	0.39101964
60	0.39891386
61	0.400717
62	0.38746953
63	0.39089423
64	0.39342648
65	0.4108891
66	0.40903002
67	0.3986674
68	0.4115447
69	0.40313268
70	0.4117543
71	0.41748685
72	0.41895646
73	0.42113793
74	0.4130019
75	0.42065686
76	0.42616484
77	0.4287413
78	0.42681903
79	0.43292922
80	0.42292804
81	0.43415436
82	0.42941058
83	0.42516303
84	0.44056347
85	0.43031758
86	0.43577087
87	0.43773884
88	0.44519567
89	0.43526614
90	0.43409136
91	0.44760162
92	0.4517363
93	0.45726234
94	0.4486042
95	0.4489544
96	0.45495397
97	0.4452343
98	0.44558814
