step	corr
0	0.0641730080131247
1	0.30491193496519364
2	0.33646753597005713
3	0.3914161291295242
4	0.40811802416400633
5	0.42642867418136976
6	0.4312766370556504
7	0.44248890651678574
8	0.4560002171637104
9	0.4684109831196682
10	0.47118259096562276
11	0.48124005141692516
12	0.48941536402100405
13	0.4988065914794063
14	0.5064182135353551
15	0.5126913104579227
16	0.5124899033761396
17	0.5220657134496305
18	0.5292014956123297
19	0.5312589419360769
20	0.5343694801355408
21	0.5475817717310989
22	0.5516423254635046
