analysis,bert_lr,classifier_lr,bert_weight_decay,classifier_weight_decay,bert_hidden_dropout,bert_atten_dropout,classifier_dropout,projector_dropout
full_LLM,1.667728144574508e-05,0.0008011385914845879,0.04649894322606005,0.07982162912073996,0.38847170677223175,0.4865908845022048,0.48013612965625957,0.4210643155867371
no_lengths,6.496137129010313e-05,0.0004923598907550912,0.06020694864432802,0.07453737600412391,0.4270968564457986,0.3558242708859537,0.11557137566573863,0.6092581169078863
only_codons,9.98040044450771e-05,0.0001553233595660199,0.08526074539749412,0.056507137098928635,0.43475905656955494,0.4645061779905989,0.24666396594111772,0.38110685023705293
seq_only,8.971552756143988e-05,0.0008064229033656476,0.02549082157595975,0.040709723396768,0.3529309698647505,0.24791654965112278,0.37321268978492805,0.2141544848125999
no_mfe,4.590493327935211e-05,0.0003037693316567663,0.07083570574644399,0.023001574120424542,0.31023439822996857,0.21041907702044943,0.4681733215570101,0.386261902367338
no_codons,9.986711554373368e-05,6.835858566004834e-05,0.06791621124668304,0.021230197798570355,0.24122586454521883,0.10233875602132375,0.36314032859667367,0.2729171488598573
no_gc_content,9.917864754859902e-05,5.13754038197933e-05,0.04514160076826405,0.032876189872104965,0.419068761856953,0.2553192180524669,0.31412398099169586,0.39707571560194865
extraFeaturesAndMotifCounts,,0.0009693723332179149,,0.0632276234265635,,,0.7562675529315488,
codonOnly,,0.0018336050763220785,,0.08638894731277694,,,0.18228198199808013,
allExtraFeatures,,0.0015246207672107665,,0.0633492468274224,,,0.396511599207238,
