git_hash,step,max_spearmanr
058ae8c,3,0.2996564548096658
git-hash-not-available,1,0.2670774785815728
git-hash-not-available,2,0.2787900942623848
git-hash-not-available,2,0.1896921521758003
git-hash-not-available,7,0.2309772573844714
git-hash-not-available,26,0.269576667277797
bc58183,3,0.3092652758267905
9aecd56,3,0.3092652758267905
c6ca200,11,0.2118416782626352
14e305d,4,0.3466561228282107
ea39fe8,1,0.306191646743673
140b37d,1,0.1937057746192887
2ddf720,7,0.1413645570291123
61de266,7,0.1790985762097156
f348ddb,12,0.1497722754190965
5ae712a,2,0.2168400556550836
925bd1d,4,0.2286496547778387
5ba11cf,12,0.2153853040259382
c0a545c,6,0.2557900979923572
8e80725,1,0.3050427659698863
74f971e,1,0.2614524389488771
84a6b7c,12,0.2704718990495788
ac69995,12,0.1792477815050126
8a98f1e,2,0.2062017181004098
29d6664,10,0.1654537519548078
8652f3c,15,0.1853204370235991
9ddde47,15,0.1931910163505142
b99603f,13,0.3064900573342669
2a1625d,1,0.1943995792424196
b563f60,11,0.2064180657785904
f683b84,1,0.2758805910040939
4b72527,11,0.3258569046638134
c92b837,2,0.2142513437816812
389f7f7,1,0.2390940254486264
6b52b72,4,0.2139454729263225
4cce388,2,0.1704446690824914
739b50c,15,0.1805607881036259
50ca4cc,15,0.1587768149902685
d882a80,2,0.2246509528638799
5223559,4,0.2197644794429042
7d6f5ef,7,0.333600659489726
aca37fc,3,0.1962273441098075
58768c2,7,0.2727099784790334
e8682cf,2,0.2719191904139594
c7e1321,7,0.2439655783400725
ae4a89e,3,0.2355429394205586
de8f438,10,0.2413694062019052
c8631b6,10,0.2387806943285028
831844b,25,0.2607138727371571
d4551b8,3,0.2716506208824249
7ca226a,5,0.2466288928611233
432d5b8,1,0.2081712279983298
e13436e,2,0.1885283508724839
c33dedf,2,0.2290823501341999
bb8657e,3,0.2084323372650995
7d3f4ff,2,0.1831345794474986
86ce50c,12,0.195958774578273
0eed2c3,3,0.2778650214315436
04e2ccb,6,0.2559318430228893
d4c6535,1,0.3033045242796767
781c17c,1,0.2700839652818067
03bddb9,6,0.2190930556140679
f408c27,1,0.1108371536113527
7bb1448,3,0.2430181247149367
d598003,14,0.203881575758542
f3e3f6b,12,0.1604628348271242
cc2a335,2,0.1913557912183615
891f267,1,0.236408330133281
9b66aa5,1,0.2771935976027073
1a89d73,4,0.198368440097319
099ce41,10,0.254865025161516
05f1ab4,13,0.2327602606632701
5fb538a,1,0.1984505030097323
67b1c43,1,0.2903385841183701
7e43a83,3,0.2020911122149783
025202a,2,0.2609451409448674
c4b7639,1,0.2443460518430797
583d8cf,3,0.2356921447158556
8e2a09e,10,0.2391462473019804
9f4fd72,1,0.30043232234521
ca6c593,7,0.3319967025652836
0904132,5,0.2024193638646317
7f96ca9,7,0.2589756310469475
be98319,7,0.2139976947796764
a548384,4,0.248956495467756
4e1792e,17,0.227060618382926
2abdedb,3,0.271299988438477
19520a2,10,0.257617862859745
0c3b246,24,0.2870262265627774
76da47d,4,0.2191676582617163
a5b4e1b,2,0.2016733373881468
a20f5af,13,0.1658640665168745
60a3624,6,0.22021955559356
8e94346,7,0.1442815205521681
bc56934,2,0.2610570449163401
b18b61c,11,0.2083726551469807
5121c52,12,0.2143259464293297
b3e212a,3,0.2585280151610565
570c7bd,8,0.2291196514580241
31cc824,23,0.2462708001524106
22a0fa4,6,0.2342075520276507
08e8fe2,12,0.1839626688363968
9d10898,26,0.2430628863035258
4b57ddf,2,0.2290823501341999
7c3fdfb,3,0.1747865431756332
d4d848a,11,0.2069104432530704
66b41a6,3,0.1952425891608475
f98baac,14,0.1542111329541813
5d94e2f,12,0.1986668506879129
3468a43,1,0.2758805910040939
0534d5f,1,0.2081712279983298
9a53ae9,6,0.2192944827627188
6781aab,15,0.2052169631514498
c9ed617,1,0.2411903598475488
160f984,1,0.1546587488400722
7e564f0,1,0.1390071133634202
26503a6,9,0.1803817417492695
6021540,2,0.2246509528638799
3a477fe,2,0.2032996751068838
e9f7234,1,0.233409303697812
b14a92e,7,0.3213658252753746
585f5cf,3,0.2409441711103088
6ff2d28,2,0.2740304453424115
847e75a,7,0.2489341146734615
9179d8f,36,0.2624595746921316
88fc49c,10,0.2372065784631198
a5cc5dc,36,0.2476360286043779
6d744bd,10,0.198174473213433
6738d10,25,0.2497398232680651
44e8419,2,0.2498293464452433
3f2784d,1,0.2140051550444413
6a46b2f,1,0.1155595012075017
f652b07,6,0.1856561489380173
8c7fd84,3,0.2084323372650995
7411fa6,2,0.1831345794474986
74c024a,5,0.2324991513965005
ea3f335,17,0.2000246188751153
74ad530,13,0.2339091414370568
6a8a8e1,11,0.2895850973771204
a40e3da,1,0.2614524389488771
2ac1b30,5,0.2243749230675805
ac21941,1,0.1108371536113527
f396914,3,0.2430181247149367
96791b9,12,0.2716431606176601
e1e8a8d,10,0.2057466419497541
7a4e8ce,4,0.1830226754760258
340a82f,2,0.154569225662894
357f433,1,0.1943995792424196
e7de058,17,0.2931063423461289
ddccff6,8,0.2683233427973025
6b1428a,13,0.2090142379167577
2fae4db,15,0.1461391264786153
2f3e6ab,1,0.2000693804637044
b23c339,0,0.1175886932235405
c1cf21f,24,0.2273814097678144
3ebb073,6,0.171988943888815
6cae170,1,0.253634081475316
c0209c3,4,0.2030982479582329
2955c10,1,0.30043232234521
54e980e,1,0.2081712279983298
d8a7ea7,7,0.3264761066392958
59219fe,3,0.236900707607761
1738107,7,0.205455691623925
338acae,34,0.2729636274810382
01543a5,3,0.3070197361325712
9439aea,3,0.3092652758267905
5cd1023,10,0.2531118629417766
30696ca,4,0.2502023596834857
bb8a007,5,0.2472480948366058
a550575,2,0.2525150417605887
996c4dd,1,0.3012156501455191
b8103b7,1,0.1777184272282186
2f00952,7,0.239757989012698
875674d,2,0.2168400556550836
02121ee,5,0.1920719766357869
3c2a6e8,7,0.2438462141038349
afd5797,12,0.1874466124815809
ee7fa61,12,0.2600946707616747
385a59f,3,0.2270382375886314
4332167,10,0.2444430352850227
ddb7329,22,0.1606941030348345
47b96e6,2,0.2062017181004098
9ea5b80,2,0.2290823501341999
375c216,3,0.214117059015914
9771e52,14,0.2124086583847637
eee24fc,4,0.1806204702217447
d905104,17,0.1659013678406987
cf13593,3,0.2279110885661187
202f3a7,2,0.2076042478762013
96db1ea,11,0.3137488949504644
6c59efb,6,0.2159672046775964
bd19a20,2,0.2014271486509068
f387d1a,1,0.1987787546593857
1a629d1,10,0.1489964078835523
80b7e03,3,0.169236106190586
b8076a5,10,0.2407203631673634
ca7a92b,1,0.2771935976027073
c46cbfb,4,0.2197644794429042
61afb3a,1,0.233409303697812
be07371,7,0.1222662792311004
ab2b0f4,6,0.3561082782852736
835644e,1,0.1791358775335398
214d085,2,0.1896697713815058
a36d40b,6,0.2386314890332058
6f48b28,7,0.2131696053907782
f9e839d,25,0.2824307034676308
b747432,36,0.30781798446241
c584d05,9,0.2420482902955064
c5f14d2,4,0.2190930556140679
1b65886,2,0.2446743034927331
abb4271,1,0.1865663012393288
eae67de,2,0.2539847139192639
e5c5c87,2,0.2424063830042191
026d995,2,0.1834777516266816
6828495,5,0.211215016022388
2784d14,4,0.2268293501752157
3fbaa27,1,0.266033041514494
04e36fb,3,0.2283512441872447
ca58b70,1,0.2771935976027073
540a4f3,1,0.2849970345467387
55d1358,6,0.1806428510160392
c8eabdd,2,0.1781585828493447
0df6f6a,2,0.1855666257608392
42a50a2,18,0.2524105980538808
e38b070,3,0.1707953015264393
0418c3d,1,0.1530846329746892
19f1b87,1,0.1937579964726427
2026746,1,0.2521494887871112
ab036bb,1,0.3012156501455191
19f6cff,18,0.2332451778729853
38ab1bf,14,0.1860217019114949
82e1ff6,3,0.2739185413709388
1b1e668,4,0.2108121617250861
afc0783,2,0.2094842345969431
2df04f3,2,0.1851712317283022
5441b25,10,0.169922450548952
d139b8b,2,0.2509483861599705
c432365,1,0.2738066373994661
e27d1a2,12,0.3386960203241175
a0bc1d4,7,0.2420333697659767
5589dbd,6,0.3603979305250615
0ca492d,5,0.1954365560447336
43ba3b8,2,0.2719191904139594
32b1def,36,0.3268491198775382
1080476,36,0.2805880180707132
483fb38,3,0.3044384845239336
5476300,4,0.2045156982635541
193afe4,4,0.2737469552813473
99d112e,4,0.2778799419610733
1c4c80f,1,0.193989264680353
d7ac46f,1,0.2081712279983298
343a998,2,0.1402380570496202
a26a56f,3,0.2084323372650995
eaa65a1,8,0.1924375296092645
586a440,4,0.2508588629827924
a56b9fb,3,0.2737394950165824
9ef0f26,1,0.2610868859753995
1a50c8c,5,0.1719068809764017
dd205cb,1,0.3033045242796767
e4bac77,12,0.2560959688477159
54e0d44,1,0.1108371536113527
65f204a,2,0.1862977317077943
0f02270,12,0.1862156687953809
4a3d994,12,0.21652672453496
e0d2885,3,0.1663191426675303
b34f63f,2,0.1846191721357034
d5e98b4,1,0.236408330133281
63acf4e,16,0.2787005710852066
683de62,10,0.2333347010501635
f9466e8,22,0.1805085662502719
aa1ea43,2,0.2539847139192639
51206fe,4,0.2341777109685914
fe5929e,4,0.1962646454336317
8259926,3,0.167758973767146
36a392d,2,0.2599007038777887
5562bfc,15,0.1462734112443826
fbd48e2,9,0.231290588504595
ab8640b,1,0.224747936305823
806c109,6,0.1710265697341496
8f1c681,24,0.2245912707457611
3b71d2c,6,0.3634417185491196
39aa323,2,0.2819980081112697
ababcb5,6,0.2070820293426619
e7e155d,10,0.2505306113331391
fa84dd7,25,0.2244122243914048
f03ae4c,36,0.3113989115495372
d01058c,4,0.2656451077467219
4422fa1,4,0.2743512367273
ccad9fe,4,0.27730550157418
a2ff4b5,1,0.3079075076395882
0f6060a,13,0.162051871222037
a65c80d,6,0.1957200461057978
8a6f2dc,3,0.2012779433556099
73c2f3c,5,0.2043142711149032
f3b118c,6,0.2493145881764688
a598d72,25,0.3126000141766777
f8ba5be,1,0.2639590879098661
a481128,19,0.2858848060537556
8f90b2b,17,0.2216071648398218
8f4da44,5,0.2254566614584836
a8abdb6,2,0.1885283508724839
68182f3,3,0.1929373673485094
5e09ce5,2,0.2739409221652333
0ac2af6,2,0.1818961754965337
52b510a,3,0.1644540764763182
f2a2a99,10,0.1688556326875787
0636c54,13,0.2039860194652499
fec970f,12,0.2286794958368981
7510af3,19,0.2737171142222879
8216ad8,16,0.1909603971858245
74ebd52,31,0.1707057783492611
408e10b,19,0.2405114757539476
3f56de6,4,0.2219950986075939
3d5db28,4,0.2212416118663442
8e21d93,18,0.149943861508688
7cdb781,1,0.253634081475316
22e95d7,0,0.1693703909563532
ddd84df,19,0.2459201677084627
1f7eb84,6,0.2229052509089054
7272f5b,2,0.208357734617451
b737193,26,0.2775516903114199
582ce69,5,0.2241958767132242
7dc59fd,36,0.2857878226118126
8e68da0,3,0.3070197361325712
7cfd56f,9,0.2894955741999423
79ead9c,10,0.1928180031122718
b1f3560,4,0.2968663157876125
54a9616,9,0.2979928157671046
ce0f335,11,0.1945413242729518
d66b76a,35,0.2496204590318275
09fc6e0,11,0.1506227456022892
9bf3717,7,0.2464349259772373
29b59f2,2,0.1843879039279931
69ff79d,5,0.2324991513965005
ee2792d,6,0.1959960759020972
a3657ab,27,0.2072834564913128
1997855,0,0.125287686460864
1102829,22,0.2889435146073435
ed6aecc,1,0.2614524389488771
d3b930a,21,0.1956902050467384
447c2f4,23,0.2015987347404983
34360a0,12,0.2625863991931341
9872986,2,0.2198987642086715
dfb2f8d,2,0.1809636424009277
f87e4c4,17,0.1407602755831596
3a4c5f8,11,0.2692111143043195
cade2c2,1,0.1943995792424196
4671c89,12,0.2181679827832267
0d392d5,19,0.2152808603192303
f8b4fb4,16,0.1872601058624597
8d58fbb,15,0.152107338290494
1164927,32,0.2371394360802362
27a6ea6,13,0.235968174512155
9b33db2,11,0.1814112582868186
dc4e7ea,11,0.2421527340022143
3e7320d,1,0.2771935976027073
b77d6c3,4,0.2622357667491862
28d861e,10,0.2171608470399721
01b24ee,24,0.2209282807462206
20e1f05,6,0.1840298112192804
c892646,6,0.2124534199733528
caf7f7f,5,0.2265980819675053
c9a9770,7,0.2663836739584419
c3c9fad,10,0.2209208204814557
7212e65,37,0.2783947002298478
81b6619,4,0.2045156982635541
757c2d6,4,0.2727547400676224
9832a08,9,0.2497622040623596
5e6a927,28,0.2555150212991354
f2b3315,25,0.2338942209075271
a3c1203,12,0.1837761622172755
7d53075,7,0.1440651728739875
763fe77,2,0.1831345794474986
30c6596,4,0.2508588629827924
c594d11,3,0.2772756605151206
26a000e,3,0.2411978201123137
97ce5d4,9,0.2000619201989396
b9f7d7d,37,0.2930093589041859
09159b2,2,0.1769500199574392
e2a116c,7,0.1766889106906695
5f5d0b3,3,0.2430181247149367
1640fc2,12,0.180307139101621
e352b35,2,0.1834777516266816
5eb7797,4,0.1866856654755664
48877a6,0,0.1272273552997246
bf367c3,2,0.1984430427449675
d09905a,1,0.1951306851893748
8f6d1a4,1,0.2758805910040939
c81be68,7,0.2124758007676473
f77407a,2,0.2539847139192639
8f57ce8,12,0.1826869635616076
c7ec675,3,0.2168624364493782
e42764d,1,0.1829480728283773
7663e1b,1,0.1608880699187206
d392fb7,14,0.195757347429622
39ae253,2,0.2246509528638799
54186ec,1,0.30043232234521
4c2ff9b,6,0.1702059406100163
7ed6a67,11,0.1420658219170081
020f814,2,0.1456243682098408
2d06227,25,0.2343194559991234
5c3031e,6,0.1561284209987473
4d54506,33,0.2845270378665532
df6f652,3,0.2154375258792921
3fecc17,33,0.3031478587196148
3f78d9e,10,0.2154972079974109
be09c5c,10,0.2882422497194477
f567853,4,0.3080268718758256
f01c818,2,0.1904680197113445
9482ba2,5,0.2359234129235659
904057b,23,0.1995695427244596
32e9cb8,3,0.2255536449004266
059cc02,2,0.1809636424009277
129020a,4,0.2482626908446251
d2e9de3,6,0.2156091119688837
6278711,17,0.2511498133086214
32e5c53,16,0.1763681193057811
592767c,6,0.2000171586103505
2bb410e,19,0.3367787322795514
3605f8d,1,0.1819782384089471
8478de4,3,0.228336323657715
2e60262,3,0.2415932141448507
ba49403,2,0.1818364933784149
f7d9193,5,0.2218682741065915
1a2f566,22,0.1812471324619919
2656894,1,0.1509659177814722
9f92a43,3,0.2300671050831599
a6d2f10,1,0.1905650031532876
031bcbd,5,0.1937356156783481
9ee5a13,3,0.1771439868413253
8d5ac73,2,0.1855666257608392
cb7cea8,3,0.2497249027385354
29cedbb,1,0.1795984139489604
754ae7c,27,0.2327005785451514
b8e64a3,9,0.2283810852463041
d1fb439,11,0.2532983695608978
8523694,11,0.1945264037434221
d5db515,29,0.2291867938409078
8c369a4,22,0.2114835855539225
b8dc77f,12,0.2458604855903439
f4964f9,30,0.274694408906483
583b504,33,0.279618183651283
61818cc,6,0.2352818301537889
3750fa9,41,0.2635338528182698
c67ac03,33,0.3310194078810884
786ef9a,4,0.2480388829016797
683166b,4,0.3061468851550839
8397f0e,4,0.3019392958277094
c400618,17,0.2122818338837613
8deae6e,2,0.1980327281829008
13e1f63,2,0.2539847139192639
369497d,3,0.2084323372650995
4b6b036,5,0.2043142711149032
e308e33,27,0.2170862443923237
f7c4719,34,0.2429584425968179
2ffe8e2,23,0.315591580347382
c154e3d,16,0.1805607881036259
79d23a0,4,0.1883642250476573
05fffbb,1,0.2849970345467387
4a7a92f,1,0.1108371536113527
86250a6,3,0.1929373673485094
1a17537,2,0.2040307810538389
0cf1b85,2,0.1791433377983046
7434090,4,0.2508588629827924
9a5cc7a,12,0.1296071797597113
4dbcd04,2,0.1942802150061821
9bf6f7d,1,0.2521494887871112
057349e,10,0.2195630522942533
c2dcee0,16,0.2236885787092145
230aae7,6,0.1717203743572805
0b44708,2,0.2424063830042191
c083db1,2,0.2949117264192222
a8e9546,12,0.1874689932758755
3b939bd,10,0.1564790534426952
2d95006,12,0.173025920691129
dffc228,10,0.2440028796638967
246c8ac,14,0.2619373561585922
246170b,16,0.1567252421799352
d73edf0,13,0.2168997377732024
e916060,1,0.1775244603443326
