,motif_mean,control_mean,statistic,p_value,p_adj
ARET,0.13576642335766423,0.053745651989479934,69363287.0,6.584782858022219e-89,3.3582392575913318e-87
SXL,0.07627737226277373,0.028930177313989988,67424616.0,5.942237691455853e-55,1.5152706113212425e-53
ROX8,0.13138686131386862,0.06914397217273267,68283198.0,3.0395090554102975e-46,4.6980573831669106e-45
U2AF50,0.07828467153284671,0.03452956647153644,67352133.0,3.6847508887583614e-46,4.6980573831669106e-45
RNP4F,0.014233576642335766,0.055654534656825315,62051922.0,4.004627365265055e-36,4.084719912570356e-35
PAPI,0.05875912408759124,0.025027572749639432,66670952.0,1.5288669119700233e-35,1.2995368751745198e-34
BRU-3,0.06587591240875912,0.03083905998133537,66709295.0,9.754838789131937e-32,7.107096832081839e-31
PUM,0.2166058394160584,0.13790616781199627,68478049.5,1.8863682041343468e-31,1.2025597301356462e-30
ELAV,0.08248175182481751,0.040510732162551966,66921346.5,1.9981555553149666e-30,1.1322881480118143e-29
B52,0.010583941605839416,0.04534656825316026,62521082.0,4.653205355404181e-30,2.3731347312561322e-29
ORB2,0.06423357664233577,0.03232374650038178,66585996.0,2.052914582657449e-27,9.518058519593626e-27
CG2931,0.05127737226277372,0.10057690676168661,61767107.5,1.346531959868838e-25,5.722760829442561e-25
A2BP1,0.09124087591240876,0.05349113430050055,66963252.0,2.271651921004248e-25,8.911865228555127e-25
HRB27C,0.028102189781021896,0.06613217951980996,62290624.5,9.84962358224273e-25,3.588077162102708e-24
SF2,0.006934306569343066,0.0303724442182065,63124574.0,3.9984860131679276e-22,1.3594852444770953e-21
FMR1,0.021532846715328468,0.05221854585560363,62700217.0,2.8811879270030326e-21,9.183786517322167e-21
PABP,0.12864963503649635,0.08585730041571223,67147933.0,7.77143231793967e-21,2.331429695381901e-20
MUB,0.1104014598540146,0.07122253329939764,66952624.0,1.500825078761262e-20,4.252337723156909e-20
SHEP,0.14124087591240875,0.21650971409179603,61455233.5,4.8379864703017955e-18,1.298617420975745e-17
CG11360,0.029562043795620437,0.05892084499872741,62788625.0,4.4404218672959526e-17,1.132307576160468e-16
CNOT4,0.06861313868613139,0.10630355476372275,62331991.5,5.5851214890634275e-16,1.3563866473439753e-15
REF2,0.024817518248175182,0.050606600492067534,63016881.0,2.5295431339594896e-15,5.863940901451544e-15
QKR58E-1,0.061313868613138686,0.0973954356494443,62498537.0,8.056370864573971e-15,1.78641266997075e-14
TRA2,0.03156934306569343,0.05718164079070162,63010582.0,5.480332236906706e-14,1.164570600342675e-13
LARK,0.10985401459854015,0.07767031475354204,66492906.0,1.6878167330631548e-13,3.443146135448836e-13
MOD,0.03375912408759124,0.05959955883600577,63030755.5,5.151872762344988e-13,1.0105596572292093e-12
MSI,0.035036496350364967,0.05862390769491813,63188754.0,6.00728418966967e-11,1.1347092358264932e-10
HRB98DE,0.013503649635036497,0.028675659625010605,63637085.0,3.9033428543632133e-10,7.10966019901871e-10
SM,0.05346715328467153,0.0847543904301349,63080594.0,8.099947487219656e-10,1.4244735236144913e-09
SRP54,0.012956204379562044,0.027021294646644607,63707330.0,1.8881455499812314e-09,3.2098474349680935e-09
CG14718,0.060583941605839416,0.08831763807584628,63045411.0,2.62878854910384e-09,4.3247811614288985e-09
RBP9,0.043613138686131384,0.02778484771358276,65556566.0,5.089875491145648e-09,8.111989064013377e-09
SNF,0.06824817518248175,0.04801900398744379,65762738.0,3.299069008453194e-08,5.0985611948822084e-08
HRB87F,0.0012773722627737226,0.0072113345210825484,64209469.0,3.6778491577515624e-07,5.516773736627344e-07
RSF1,0.030291970802919708,0.04356494443030457,63792099.5,2.3520970479218277e-05,3.427341412686092e-05
CG7903,0.0666058394160584,0.05204886739628404,65458118.5,6.518479527363632e-05,9.234512663765145e-05
SNRNP70K,0.031386861313868614,0.03915330448799525,64115515.5,0.008901750765319313,0.012269980784629323
RIN,0.046532846715328466,0.03864426911003648,65068246.5,0.011159585684373387,0.014977338681659019
PUF68,0.025,0.03113599728514465,64186202.5,0.013221966435762506,0.01729026380061251
RBP1,0.04927007299270073,0.05930262153219649,64062039.5,0.01557682511808772,0.01986045202556184
RBP1-LIKE,0.05802919708029197,0.06566556375668109,64048913.0,0.018084142280683353,0.022494908690606122
CPO,0.06295620437956205,0.05446678544158819,65098440.0,0.02057373214354014,0.024514745561031104
SF1,0.04215328467153285,0.049588529736149994,64120091.0,0.020669295276947795,0.024514745561031104
CG5213,0.09306569343065693,0.08271824891829982,65187774.0,0.023121879069198898,0.02680035983020781
CG17838,0.13467153284671532,0.12547722066683634,65253105.0,0.034325486819406656,0.038902218395327544
CG2950,0.055656934306569344,0.06345974378552642,64135820.0,0.04565052263674111,0.050612535966821665
CG33714,0.04598540145985401,0.04263171290404683,64814520.0,0.25334852212901116,0.27491009848041636
EIF-2ALPHA,0.05072992700729927,0.04818868244676339,64811972.0,0.28421378776092376,0.3019771494959815
HOW,0.06386861313868614,0.06863493679477391,64398022.0,0.4146812609210304,0.4316070266729092
FNE,0.04817518248175182,0.049885467039959275,64531812.0,0.7677030846402175,0.7830571463330219
CG7804,0.031386861313868614,0.031899550352082806,64573979.0,0.9105189008632418,0.9105189008632418
