,motif_mean,control_mean,statistic,p_value,p_adj
B52,0.11082138200782268,0.03302240076257915,30046965.0,6.651032033804431e-70,3.3920263372402602e-68
RNP4F,0.11316818774445893,0.0344522366718867,29892018.0,1.807082427653209e-58,4.608060190515683e-57
SF2,0.06544980443285528,0.01845169197249268,29294176.0,1.526759027266526e-43,2.5954903463530944e-42
FMR1,0.09517601043024772,0.04071627970313883,29497021.0,1.1857554361140846e-33,1.511838181045458e-32
CG17838,0.0758800521512386,0.1534009668414244,26284401.5,5.287905311799641e-29,5.393663418035634e-28
PABP,0.09569752281616688,0.17430380608701573,26312687.5,1.1278259326748358e-25,9.586520427736105e-25
RSF1,0.10899608865710561,0.058078572887587665,29463252.0,4.682002997089318e-25,3.411173612165074e-24
MSI,0.08448500651890482,0.04255464015796282,29242944.5,1.3198483231402244e-22,8.414033060018931e-22
REF2,0.08631029986962191,0.04616327364335807,29182935.0,1.4325554661565377e-19,8.11781430822038e-19
SXL,0.011734028683181226,0.04357595152175393,27324347.5,6.1076352594222075e-19,3.1148939823053258e-18
CG14718,0.17001303780964797,0.1073738680465718,29514084.0,1.905439543034143e-17,8.834310608612844e-17
TRA2,0.10586701434159061,0.05991693334241165,29222797.5,3.8188684893642396e-17,1.6230191079798018e-16
ARET,0.03885267275097783,0.07986654864846462,27103322.5,5.416329160528357e-17,2.12486759374574e-16
U2AF50,0.03833116036505867,0.07482807925376184,27221297.0,3.719503248266647e-14,1.3549618975828499e-13
CG2950,0.13976531942633638,0.09205419758970518,29279672.5,7.809887876565674e-14,2.655361878032329e-13
ROX8,0.05840938722294654,0.10029277592428679,27095260.5,9.310710806053003e-14,2.9677890694293946e-13
MOD,0.0907431551499348,0.05508272622046708,29029291.5,5.61983500700968e-13,1.6859505021029041e-12
A2BP1,0.04667535853976532,0.07768775107237694,27300534.0,1.9687878983030043e-11,5.578232378525179e-11
SNF,0.05110821382007823,0.08374753183087084,27319023.0,2.489797542596973e-10,6.68314077223398e-10
CG11360,0.0680573663624511,0.04187376591543542,28829801.5,3.856001624698841e-10,9.832804142982045e-10
FNE,0.06492829204693612,0.04112480424865527,28810941.0,4.820555698321052e-10,1.1707063838779697e-09
RBP1-LIKE,0.13533246414602346,0.09743310410567169,29098431.5,5.279589242150398e-10,1.2239047788621377e-09
HRB27C,0.05867014341590613,0.035813985156941515,28760466.0,1.4395079951961748e-09,3.1919525110871702e-09
SHEP,0.06388526727509779,0.0940968203172874,27366096.5,1.0745083717582237e-08,2.2833302899862254e-08
QKR58E-1,0.039634941329856586,0.06495540273711445,27499971.0,2.200566261657986e-08,4.489155173782291e-08
HRB98DE,0.03572359843546284,0.021311363791107783,28539637.0,1.099040473992259e-06,2.1558101605232777e-06
PUM,0.07666232073011733,0.1048546333492204,27460852.5,1.8805211647299518e-06,3.552095533378798e-06
CNOT4,0.07066492829204693,0.09933955198474842,27522968.0,7.4520313806036455e-06,1.3573342871813781e-05
ELAV,0.03780964797913951,0.05603595016000545,27702379.0,3.5600327754484785e-05,6.26074729475422e-05
SRP54,0.030247718383311605,0.019132566215020085,28461180.0,4.584411136677868e-05,7.793498932352375e-05
ORB2,0.051629726205997394,0.07128753319261932,27660706.0,5.9098172978650943e-05,9.722602651326446e-05
SF1,0.030508474576271188,0.04446108803703956,27774359.5,0.00011981818913413878,0.00019096023893253367
HRB87F,0.013559322033898305,0.006944917273779533,28335906.0,0.00015697526467492237,0.0002425981363157891
CG33714,0.13298565840938723,0.10689725607680262,28736421.5,0.00021579146059215264,0.00032368719088822896
CG7804,0.0560625814863103,0.04194185333968816,28539502.0,0.0003121185030605636,0.0004548012473168212
MUB,0.07379400260756193,0.09532239395383672,27660640.0,0.00037394378756556393,0.0005297536990512156
CPO,0.08578878748370274,0.10430993395519847,27654771.5,0.0006355766581562847,0.0008760651234046087
CG5213,0.05371577574967405,0.06876829849526793,27767357.5,0.0014276725941550984,0.0019160869026818427
PAPI,0.03885267275097783,0.04963573228024784,27868572.0,0.005679226287233613,0.00742668052945934
LARK,0.24902216427640156,0.228024783822428,28566448.5,0.04589701374122863,0.0585186925200665
SNRNP70K,0.04432855280312908,0.03778852046027099,28343900.5,0.06262540009799403,0.07789988792677306
RBP1,0.09465449804432856,0.08756042758902431,28384916.0,0.10925255049329409,0.1326638113132857
HOW,0.05893089960886571,0.06699802546469667,28009580.5,0.21432764961919115,0.25420256117624995
RBP9,0.02920469361147327,0.033567100156601075,28056918.5,0.23835973625529294,0.2762806033868168
PUF68,0.01773142112125163,0.02090283924559134,28084343.0,0.2745242843956188,0.31074426545627143
RIN,0.027379400260756193,0.031184040307755158,28068230.0,0.2802791413919311,0.31074426545627143
CG2931,0.059452411994784876,0.06577245182814734,28053031.0,0.37269357139596015,0.40441217321689293
EIF-2ALPHA,0.06049543676662321,0.06304895485803771,28067071.0,0.43261455977186747,0.45965296975760916
CG7903,0.10717079530638852,0.10253966092462723,28275742.5,0.45027530607501887,0.4686538899964482
BRU-3,0.06597131681877444,0.0697215224348063,28115608.0,0.7093662039858148,0.7235535280655312
SM,0.0758800521512386,0.07516851637502553,28143890.5,0.8868708320185669,0.8868708320185669
