,motif_mean,control_mean,statistic,p_value,p_adj
U2AF50,0.03782051282051282,0.05109114249037227,6004571.0,0.017149676717659584,0.7806822867944363
RIN,0.027884615384615386,0.019768934531450576,6121694.5,0.038022612069937706,0.7806822867944363
SF2,0.02403846153846154,0.032349165596919124,6028747.5,0.05026675433534851,0.7806822867944363
MSI,0.04326923076923077,0.03388960205391527,6126381.0,0.06783824126397558,0.7806822867944363
CG33714,0.09615384615384616,0.08472400513478819,6141845.0,0.10823093441171672,0.7806822867944363
CG11360,0.04262820512820513,0.034403080872913994,6117881.5,0.13003450399637004,0.7806822867944363
FNE,0.027243589743589744,0.03260590500641849,6039483.0,0.13817538579941085,0.7806822867944363
SF1,0.02532051282051282,0.03055198973042362,6040636.5,0.13939351194376517,0.7806822867944363
CG2931,0.05705128205128205,0.04801026957637997,6119861.5,0.1696058867402469,0.7806822867944363
PUF68,0.011858974358974358,0.01566110397946085,6053097.5,0.17758889456531235,0.7806822867944363
TRA2,0.05352564102564102,0.06161745827984596,6032660.0,0.19419105519057533,0.7806822867944363
CG17838,0.1016025641025641,0.09268292682926829,6128369.5,0.21504442826790526,0.7806822867944363
CG14718,0.09807692307692308,0.0865211810012837,6124905.0,0.23757202491794482,0.7806822867944363
CNOT4,0.06698717948717949,0.07471116816431322,6032761.5,0.239565612499561,0.7806822867944363
EIF-2ALPHA,0.041346153846153845,0.046469833119383824,6043983.0,0.2784840305219931,0.7806822867944363
ARET,0.061217948717948716,0.06469833119383825,6039201.0,0.279529722527162,0.7806822867944363
MOD,0.06346153846153846,0.05853658536585366,6110106.5,0.3233129911744971,0.7806822867944363
RBP1-LIKE,0.08205128205128205,0.07522464698331194,6111776.0,0.3511059425120334,0.7806822867944363
RBP1,0.07275641025641026,0.07881899871630295,6041080.0,0.3525337025951899,0.7806822867944363
SM,0.06153846153846154,0.06829268292682927,6044949.0,0.37636655683903764,0.7806822867944363
SRP54,0.021794871794871794,0.01797175866495507,6093692.5,0.3831624298251004,0.7806822867944363
A2BP1,0.04903846153846154,0.05365853658536585,6048532.5,0.3872954551498644,0.7806822867944363
CG7903,0.07532051282051282,0.08010269576379975,6043652.5,0.3977555671058546,0.7806822867944363
CG5213,0.047115384615384615,0.044159178433889605,6101668.5,0.3988932277491647,0.7806822867944363
RNP4F,0.04871794871794872,0.05468549422336329,6050027.0,0.4084188883040297,0.7806822867944363
FMR1,0.04358974358974359,0.040051347881899874,6099551.5,0.4170896528173431,0.7806822867944363
CPO,0.06698717948717949,0.07214377406931964,6047828.0,0.44106295464926004,0.7806822867944363
CG2950,0.08012820512820513,0.08806161745827984,6045627.0,0.444934150066571,0.7806822867944363
MUB,0.0685897435897436,0.07368421052631578,6050053.0,0.47900536364778723,0.7806822867944363
PABP,0.12243589743589743,0.12708600770218229,6043822.0,0.4891259753152509,0.7806822867944363
QKR58E-1,0.04326923076923077,0.04826700898587933,6055623.5,0.4942129790470795,0.7806822867944363
PAPI,0.03942307692307692,0.036456996148908856,6094587.0,0.5034365806890055,0.7806822867944363
REF2,0.046153846153846156,0.04878048780487805,6055806.0,0.5082114037163891,0.7806822867944363
B52,0.041346153846153845,0.03876765083440308,6093718.5,0.5276378433917859,0.7806822867944363
SXL,0.020512820512820513,0.023106546854942234,6063121.5,0.5357623536824563,0.7806822867944363
BRU-3,0.05352564102564102,0.0503209242618742,6093061.5,0.5953310705703001,0.8216374326394696
HRB87F,0.00641025641025641,0.007445442875481386,6069910.0,0.6049752552923184,0.8216374326394696
SNRNP70K,0.027564102564102563,0.029525032092426188,6063912.0,0.6122004400058794,0.8216374326394696
ROX8,0.05929487179487179,0.061874197689345316,6060197.5,0.6422485415175602,0.8398634773691172
SNF,0.05096153846153846,0.05288831835686778,6064881.0,0.7246340523207819,0.9196194594868633
ORB2,0.04935897435897436,0.04878048780487805,6086021.5,0.7517490476488053,0.9196194594868633
RSF1,0.06185897435897436,0.05982028241335045,6086382.5,0.767284430008536,0.9196194594868633
CG7804,0.041666666666666664,0.04261874197689345,6068198.0,0.7809659250914727,0.9196194594868633
PUM,0.07403846153846154,0.07188703465982028,6085642.5,0.799915472739138,0.9196194594868633
RBP9,0.02467948717948718,0.02644415917843389,6071563.5,0.8391081815398546,0.9196194594868633
SHEP,0.0641025641025641,0.061874197689345316,6083030.0,0.8423160131957249,0.9196194594868633
ELAV,0.029487179487179487,0.029781771501925545,6071713.5,0.8545660462671375,0.9196194594868633
HRB27C,0.03461538461538462,0.03388960205391527,6080234.5,0.8786988068193387,0.9196194594868633
HOW,0.047435897435897434,0.047753530166880616,6071678.5,0.8835559512716922,0.9196194594868633
HRB98DE,0.017948717948717947,0.017715019255455714,6077239.0,0.956779520740102,0.9586825253354065
LARK,0.16474358974358974,0.1643132220795892,6078918.5,0.9586825253354065,0.9586825253354065
